ID	CUSTOMER	EFFECTIVE_ON	BOOKED_ON	_LOADED_AT	DELETED_AT	TYPE
cb73b236d056c1fbd97e40af947c7c2a	1	1/5/15	1/1/15	2022-01-09 19:51:46	(null)	New Subscription
0d0d019021133555861d2163d922cd71	2	1/12/15	1/8/15	2022-01-09 19:51:46	(null)	New Subscription
143a42b3090d51d0f4ccfed468b6e313	3	1/19/15	1/15/15	2022-01-09 19:51:46	(null)	New Subscription
cf2032380e095e914a45b9f3bf513c32	4	1/26/15	1/22/15	2022-01-09 19:51:46	(null)	New Subscription
31521772493f0996938fce7bfd02d368	5	2/2/15	1/30/15	2022-01-09 19:51:46	(null)	New Subscription
a690d0d5058d56b22d3eb84fd67d2d62	6	2/9/15	2/6/15	2022-01-09 19:51:46	(null)	New Subscription
80db5c0053ad4c1f34d494ac51e803eb	7	2/16/15	2/13/15	2022-01-09 19:51:46	(null)	New Subscription
1d708b066ab46c20a70bb46de461bb26	8	2/23/15	2/21/15	2022-01-09 19:51:46	(null)	New Subscription
71418cfbfc9f6af843062a3f02163787	9	3/2/15	2/28/15	2022-01-09 19:51:46	(null)	New Subscription
ce4934e776797509ce6f97a65959f890	10	3/9/15	3/7/15	2022-01-09 19:51:46	(null)	New Subscription
4775aea3c366aa149f7acd11afd3cd7b	11	3/16/15	3/15/15	2022-01-09 19:51:46	(null)	New Subscription
ee29eacb40e3b7f30c66587d7238ad14	12	3/23/15	3/22/15	2022-01-09 19:51:46	(null)	New Subscription
62433aa133f9de51b3ac11e160026a19	13	3/30/15	3/29/15	2022-01-09 19:51:46	(null)	New Subscription
92bddc926d90986f39b375da271ae467	14	4/6/15	4/5/15	2022-01-09 19:51:46	(null)	New Subscription
b964cbc9a5f8df70ce90ac00e255766a	15	4/13/15	4/13/15	2022-01-09 19:51:46	(null)	New Subscription
7726970496df1a1147ced5a39bdb5d90	16	4/20/15	4/20/15	2022-01-09 19:51:46	(null)	New Subscription
7f619fc5014ddfae62f261b21dbe1676	17	4/27/15	4/27/15	2022-01-09 19:51:46	(null)	New Subscription
95e3a72f90b8da909a515bda733979b5	18	5/11/15	5/5/15	2022-01-09 19:51:46	(null)	New Subscription
926d5cc3fdd33f96f232f7e3facc798c	19	5/18/15	5/12/15	2022-01-09 19:51:46	(null)	New Subscription
0ae902279e39f694055436573549b88f	20	5/25/15	5/19/15	2022-01-09 19:51:46	(null)	New Subscription
4a636bb4dce18116971d507e1cb3dbd5	21	6/1/15	5/27/15	2022-01-09 19:51:46	(null)	New Subscription
ac0fb413f73d2c496ed278cc57364985	22	6/8/15	6/3/15	2022-01-09 19:51:46	(null)	New Subscription
73ffd6461f41a320c16423a45fdad09d	23	6/15/15	6/10/15	2022-01-09 19:51:46	(null)	New Subscription
fc32f8559b8f492482bd61fdbd2df9f2	24	6/22/15	6/17/15	2022-01-09 19:51:46	(null)	New Subscription
91a201401ef9d950ef11d0ec022735d8	25	6/29/15	6/25/15	2022-01-09 19:51:46	(null)	New Subscription
cff1b21e64cead17b2d4f598452221e7	26	7/6/15	7/2/15	2022-01-09 19:51:46	(null)	New Subscription
711e3cedc52eaf35941665ddbf08c4c0	27	7/13/15	7/9/15	2022-01-09 19:51:46	(null)	New Subscription
3b8f2f3243fb686a7b76c2ce431b4326	28	7/20/15	7/17/15	2022-01-09 19:51:46	(null)	New Subscription
aacf75a5cd165f2aa5fd53226c8ebf40	29	7/27/15	7/24/15	2022-01-09 19:51:46	(null)	New Subscription
49521fb6dfb98e9ed65c712859d0336e	30	8/3/15	7/31/15	2022-01-09 19:51:46	(null)	New Subscription
b17693810b56b87826bb836ee6cd1613	31	8/10/15	8/8/15	2022-01-09 19:51:46	(null)	New Subscription
b07d117720ffecb5d85310303fb5c596	32	8/17/15	8/15/15	2022-01-09 19:51:46	(null)	New Subscription
854846a682b98556b73efafdd1794f9c	33	8/24/15	8/22/15	2022-01-09 19:51:46	(null)	New Subscription
bed652c2d96d854f080502ed5c6d7696	34	8/31/15	8/29/15	2022-01-09 19:51:46	(null)	New Subscription
57cb215a71b0ae0ad9feeb5db928a51b	35	9/7/15	9/6/15	2022-01-09 19:51:46	(null)	New Subscription
49679869bc8f8f9977238b7e2954f63c	36	9/14/15	9/13/15	2022-01-09 19:51:46	(null)	New Subscription
319ed594964c35ed4a4c6a975c581f21	37	9/21/15	9/20/15	2022-01-09 19:51:46	(null)	New Subscription
95ead7151cf7e161f3e35d355b4b8f94	38	9/28/15	9/28/15	2022-01-09 19:51:46	(null)	New Subscription
791fd2ee08598f9347edc6b272d86b2a	18	10/5/15	10/10/15	2022-01-09 19:51:46	(null)	Change Subscription
3effb020a53ee3ca8a86ecb833d520a0	39	10/5/15	10/5/15	2022-01-09 19:51:46	(null)	New Subscription
cf5d72d17c5e6ef96f475448757cddbf	40	10/12/15	10/12/15	2022-01-09 19:51:46	(null)	New Subscription
cc603070ae27e4aee8e3e8f2d0126552	26	10/13/15	10/8/15	2022-01-09 19:51:46	(null)	Change Subscription
9c0b0b63a2d763350e8ea11ce252ae60	41	10/26/15	10/20/15	2022-01-09 19:51:46	(null)	New Subscription
59bc04e987773a525d0e8b0c62c390a7	42	11/2/15	10/27/15	2022-01-09 19:51:46	(null)	New Subscription
49c4b99564fb615e86f6ae0475530aa0	3	11/4/15	10/30/15	2022-01-09 19:51:46	(null)	Change Subscription
a81cac0f31ddd131675680855f44a8f9	43	11/9/15	11/3/15	2022-01-09 19:51:46	(null)	New Subscription
e591ff920c981d85eb54869ae19b57d3	44	11/16/15	11/10/15	2022-01-09 19:51:46	(null)	New Subscription
060e2b8021d936170e1d723abc1fcc04	45	11/23/15	11/18/15	2022-01-09 19:51:46	(null)	New Subscription
a70ba77fe65b0a0936042d521722c151	46	11/30/15	11/25/15	2022-01-09 19:51:46	(null)	New Subscription
200cb8292d1799f3a50896544e2ac997	47	12/7/15	12/2/15	2022-01-09 19:51:46	(null)	New Subscription
ed46027b1f9acc735bf85b518097cd68	48	12/14/15	12/10/15	2022-01-09 19:51:46	(null)	New Subscription
74e240866364295779e71ceea46c147e	49	12/21/15	12/17/15	2022-01-09 19:51:46	(null)	New Subscription
91f1256ca2f9875e5de902e6ac951dfa	50	12/28/15	12/24/15	2022-01-09 19:51:46	(null)	New Subscription
bfbb3365ea51e2de16019cd5e77f4298	51	1/4/16	1/1/16	2022-01-09 19:51:46	(null)	New Subscription
b843b90d26bb3eee9c50194c372f00c0	52	1/4/16	1/4/16	2022-01-09 19:51:46	(null)	New Subscription
04b0545f00233cf1f79cf8e92645d1eb	1	1/5/16	12/20/15	2022-01-09 19:51:46	(null)	Renew Subscription
595cda35a350ed123e92b6a93c547148	53	1/11/16	1/8/16	2022-01-09 19:51:46	(null)	New Subscription
1fe6ba8a79f90e0f464e3631f8ee4078	54	1/11/16	1/11/16	2022-01-09 19:51:46	(null)	New Subscription
4fb1b42b413c453ca8fe185485c5e94c	2	1/12/16	1/31/16	2022-01-09 19:51:46	(null)	Renew Subscription
d23134ecffaaa30da88910501f08452e	55	1/18/16	1/15/16	2022-01-09 19:51:46	(null)	New Subscription
92dda5cb9fc6b0f9081f4ab1e6449618	3	1/19/16	2/6/16	2022-01-09 19:51:46	(null)	Renew Subscription
8c8ce5cc8a53a475fae8b8d6a9dc06c8	56	1/25/16	1/19/16	2022-01-09 19:51:46	(null)	New Subscription
6e2e777fb88d68440f9c39b3a92b0b19	57	1/25/16	1/22/16	2022-01-09 19:51:46	(null)	New Subscription
5edf1ede590a66937ed814a943163336	4	1/26/16	1/23/16	2022-01-09 19:51:46	(null)	Renew Subscription
e9f6d0abc1414c1127ee122ee1a8aa96	59	2/1/16	1/30/16	2022-01-09 19:51:46	(null)	New Subscription
12dde4c85c6b99bcb8968e1ad5e5fdae	58	2/1/16	1/26/16	2022-01-09 19:51:46	(null)	New Subscription
ba11396f93cce54595a75023ad2575f4	5	2/2/16	1/27/16	2022-01-09 19:51:46	(null)	Renew Subscription
7a2ba5541e27c58fc0e06c27c66cfb7d	15	2/5/16	2/18/16	2022-01-09 19:51:46	(null)	Change Subscription
77c468d46fc6ba30865b6dcc0d132496	61	2/8/16	2/6/16	2022-01-09 19:51:46	(null)	New Subscription
7753a9dd9d905dcb240b246f6fa5d039	60	2/8/16	2/2/16	2022-01-09 19:51:46	(null)	New Subscription
2743d5436f2ea1edd8bafcb631bb43e4	6	2/9/16	2/16/16	2022-01-09 19:51:46	(null)	Renew Subscription
cdf75288d07010144f475ed4a3dd4101	62	2/15/16	2/10/16	2022-01-09 19:51:46	(null)	New Subscription
2961533a952d3aca7fad53efb944cf32	63	2/15/16	2/13/16	2022-01-09 19:51:46	(null)	New Subscription
213f358c2a968a120bb3a2a8817b7385	7	2/16/16	2/19/16	2022-01-09 19:51:46	(null)	Renew Subscription
3da7da4eaa0391203113b00df339e47a	65	2/22/16	2/21/16	2022-01-09 19:51:46	(null)	New Subscription
a5828ad02c41de13b9ebc1771b60afc7	64	2/22/16	2/17/16	2022-01-09 19:51:46	(null)	New Subscription
e88fd4eeb4ad26b6d5174cdc2ae8ec5d	8	2/23/16	3/2/16	2022-01-09 19:51:46	(null)	Renew Subscription
a7d2cb71c22eda9c222fcb333768a0ee	67	2/29/16	2/28/16	2022-01-09 19:51:46	(null)	New Subscription
d074071b15806653a176eb143da39e68	66	2/29/16	2/24/16	2022-01-09 19:51:46	(null)	New Subscription
b51e4dc0cf49dafd9d231875a6823b3d	9	3/2/16	3/14/16	2022-01-09 19:51:46	(null)	Renew Subscription
2dc1a84837d45e51399e4cc36dc4dd64	68	3/7/16	3/3/16	2022-01-09 19:51:46	(null)	New Subscription
26326d6b00bc70060309de8282891660	69	3/7/16	3/6/16	2022-01-09 19:51:46	(null)	New Subscription
ecf741ad9ada5d0fdb41488b495ade97	10	3/9/16	3/5/16	2022-01-09 19:51:46	(null)	Renew Subscription
f235cc78cf4f9687c462abcd257e156a	71	3/14/16	3/14/16	2022-01-09 19:51:46	(null)	New Subscription
19e6b8cdb1dfa20c1b3699b572c8be66	70	3/14/16	3/10/16	2022-01-09 19:51:46	(null)	New Subscription
4457cbb13ac573d056c046b9ed491b4b	11	3/16/16	4/1/16	2022-01-09 19:51:46	(null)	Cancel Subscription
68ae075f920c630f3c593103119a9406	73	3/21/16	3/21/16	2022-01-09 19:51:46	(null)	New Subscription
d6fe164ee344380421be6639d1b46214	72	3/21/16	3/17/16	2022-01-09 19:51:46	(null)	New Subscription
b1f9c635a96b469cd48e14fdfe449261	12	3/23/16	3/31/16	2022-01-09 19:51:46	(null)	Renew Subscription
2b817a486805635a1febe0c34cf62742	75	3/28/16	3/28/16	2022-01-09 19:51:46	(null)	New Subscription
1f6d670c2ed9809b914074e8e00a62e6	74	3/28/16	3/24/16	2022-01-09 19:51:46	(null)	New Subscription
e4487f84dc9f841bb7d7747d3bfc7646	13	3/30/16	3/12/16	2022-01-09 19:51:46	(null)	Cancel Subscription
906f03e3ec3a0f8100e27ee158ee4754	48	4/2/16	4/16/16	2022-01-09 19:51:46	(null)	Change Subscription
d7833e06d90206f373dbd5ad88900593	76	4/4/16	4/1/16	2022-01-09 19:51:46	(null)	New Subscription
098a7313ab201fbeb348878406fc1ad9	77	4/4/16	4/4/16	2022-01-09 19:51:46	(null)	New Subscription
78bdbcd7c0a5bfe00c88145637feade3	14	4/6/16	4/3/16	2022-01-09 19:51:46	(null)	Renew Subscription
6bc6fad00e1d2d265a476a5812634c2a	78	4/11/16	4/8/16	2022-01-09 19:51:46	(null)	New Subscription
036ab94b9f22e42e343bbf28f412794e	15	4/13/16	4/20/16	2022-01-09 19:51:46	(null)	Cancel Subscription
26d7bd4f8ac45834503f8a722d7bade5	79	4/18/16	4/12/16	2022-01-09 19:51:46	(null)	New Subscription
a9b9e3d74316c323b7cf144274e6f9d0	80	4/18/16	4/15/16	2022-01-09 19:51:46	(null)	New Subscription
b49b65adcf5dc4bf29325834dcc5bdf0	16	4/20/16	4/15/16	2022-01-09 19:51:46	(null)	Renew Subscription
96a3607b1c16e4182bc2b946bd102364	82	4/25/16	4/23/16	2022-01-09 19:51:46	(null)	New Subscription
439e2f97cf991c972b608fb3ecfd1da2	81	4/25/16	4/19/16	2022-01-09 19:51:46	(null)	New Subscription
a3c1594bf2a213e8735859e2e817f275	17	4/27/16	5/15/16	2022-01-09 19:51:46	(null)	Renew Subscription
39e5dace826cebbc292c2f76fbfbacd5	59	4/28/16	5/15/16	2022-01-09 19:51:46	(null)	Change Subscription
5cce61846804058b178d5965dbde4581	49	4/28/16	4/16/16	2022-01-09 19:51:46	(null)	Change Subscription
2a7b40eab24952f82070ad0e6b1869d2	84	5/2/16	4/30/16	2022-01-09 19:51:46	(null)	New Subscription
d475f0d51f14ce8a941a03c56ae3521d	83	5/2/16	4/26/16	2022-01-09 19:51:46	(null)	New Subscription
5f372521deaf5faf63b5412039f144c6	85	5/9/16	5/4/16	2022-01-09 19:51:46	(null)	New Subscription
4e5496a7fdd9acaa89d5a028614846a9	86	5/9/16	5/7/16	2022-01-09 19:51:46	(null)	New Subscription
7858c71a54c3b21ab74b594da80eadcf	18	5/11/16	5/23/16	2022-01-09 19:51:46	(null)	Cancel Subscription
1e84160e6218c980d1c989e023af4b2a	34	5/11/16	4/26/16	2022-01-09 19:51:46	(null)	Change Subscription
2c98c1c29d408d7f3abb167ff43abdc2	88	5/16/16	5/15/16	2022-01-09 19:51:46	(null)	New Subscription
4fc30126576f5f4d2be1f27ffd33aad3	87	5/16/16	5/11/16	2022-01-09 19:51:46	(null)	New Subscription
92343f76fbe0e465d7831828d69250a9	19	5/18/16	5/16/16	2022-01-09 19:51:46	(null)	Renew Subscription
11793565014d156cacc9e8b25563603b	90	5/23/16	5/22/16	2022-01-09 19:51:46	(null)	New Subscription
d899de69b652ab94b4aa2769a1fbc7e1	89	5/23/16	5/18/16	2022-01-09 19:51:46	(null)	New Subscription
a5285a7278cfe71cfd36df49acca9c53	20	5/25/16	5/22/16	2022-01-09 19:51:46	(null)	Renew Subscription
79b114b7dc8eb30bae7acd6c8b2800e8	91	5/30/16	5/26/16	2022-01-09 19:51:46	(null)	New Subscription
ff145c1dcf0ee25f3cf450aad74d8793	92	5/30/16	5/29/16	2022-01-09 19:51:46	(null)	New Subscription
32f462f460efcd5e282acad01747bfbf	21	6/1/16	6/3/16	2022-01-09 19:51:46	(null)	Renew Subscription
f687501ddb35cc8900c5b4e9cdf5a0c7	93	6/6/16	6/2/16	2022-01-09 19:51:46	(null)	New Subscription
9a4cc3ca41b7a5d55f53ae0383f267a2	94	6/6/16	6/5/16	2022-01-09 19:51:46	(null)	New Subscription
16652c23c32137dd513052657c1280a1	22	6/8/16	6/23/16	2022-01-09 19:51:46	(null)	Cancel Subscription
80d520d6353458d245c3ae4e5bdfe08a	5	6/12/16	6/21/16	2022-01-09 19:51:46	(null)	Change Subscription
58fc679e949406db638b9ead5751ed81	96	6/13/16	6/13/16	2022-01-09 19:51:46	(null)	New Subscription
497d0440c33eefc9db86f2cd50f8a72a	95	6/13/16	6/9/16	2022-01-09 19:51:46	(null)	New Subscription
fa7e224dd33add9ec92270b0eec95562	23	6/15/16	7/3/16	2022-01-09 19:51:46	(null)	Renew Subscription
dae914e0c434088be409d5125610e971	98	6/20/16	6/20/16	2022-01-09 19:51:46	(null)	New Subscription
236218ea1bc25d9dda01e10f6b8965b8	97	6/20/16	6/16/16	2022-01-09 19:51:46	(null)	New Subscription
5886796443d5741e448dbf5fe27ec736	24	6/22/16	7/7/16	2022-01-09 19:51:46	(null)	Renew Subscription
589a43efcfff3a15c66d7d27af6668f2	99	6/27/16	6/24/16	2022-01-09 19:51:46	(null)	New Subscription
29bb126a5a1ccc6f4c2791fc4d87d04e	100	6/27/16	6/27/16	2022-01-09 19:51:46	(null)	New Subscription
ecbc03ec4118e6bf66e814d58b03f4d7	25	6/29/16	6/30/16	2022-01-09 19:51:46	(null)	Renew Subscription
1ca4c4efdec54083a86f4fa7db601a3c	101	7/4/16	7/1/16	2022-01-09 19:51:46	(null)	New Subscription
f0b0c304fe45e2c70f2863fe4bdd680f	26	7/6/16	6/22/16	2022-01-09 19:51:46	(null)	Cancel Subscription
de67f72110f1f2c0f2a62212f461553e	102	7/11/16	7/5/16	2022-01-09 19:51:46	(null)	New Subscription
472e70f5b4cf7ac8fae05aef91abdd65	103	7/11/16	7/8/16	2022-01-09 19:51:46	(null)	New Subscription
8735f0283c387ce89712c0e34b85170d	27	7/13/16	8/1/16	2022-01-09 19:51:46	(null)	Renew Subscription
fd81da151de270b564cef3490d5004ef	105	7/18/16	7/16/16	2022-01-09 19:51:46	(null)	New Subscription
f7e7b6a0020abb17755797b232c979be	104	7/18/16	7/12/16	2022-01-09 19:51:46	(null)	New Subscription
b51b8a0c55647c73f07cb4ac91b28bff	28	7/20/16	7/3/16	2022-01-09 19:51:46	(null)	Cancel Subscription
04a9f0d2e759165e8788eabdbc66d363	107	7/25/16	7/23/16	2022-01-09 19:51:46	(null)	New Subscription
c682bbfc850ac5e8a18d58d847698acc	106	7/25/16	7/19/16	2022-01-09 19:51:46	(null)	New Subscription
9fecc6b248349154f989a3840e0ca15b	29	7/27/16	8/14/16	2022-01-09 19:51:46	(null)	Renew Subscription
518c97aa330fcfdf88fdf261536242c9	54	7/28/16	7/25/16	2022-01-09 19:51:46	(null)	Change Subscription
01e418b769b8c3114fa631b4fd02e5e7	108	8/1/16	7/27/16	2022-01-09 19:51:46	(null)	New Subscription
65f6db3941b75e11b4b7cffff6661a4d	109	8/1/16	7/30/16	2022-01-09 19:51:46	(null)	New Subscription
fa587f512b407482c084374f5ca2594a	30	8/3/16	8/13/16	2022-01-09 19:51:46	(null)	Renew Subscription
